"","MovieName","TrailerLink","youtubeView","youtubeLike","youtubeDisLike","Revenue","FacebookMovieLike","actExp","Budget","Opening_Weekend_Gross","ReleasePeriod","runtime","Screen","Sequel","MPAA_Rating","Genre","ROI","Success"
"391","The Good Lie","c2tI5zW3IU8",1580578,3893,228,2722209,56068,40,20000000,841420,20000000,110,461,0,10,100000,-0.86388955,FALSE
"392","Everything Must Go (film)","fH_RxANZa6M",18286,28,3,2711643,14811,71,5255000,815640,5255000,97,218,0,1,10100000,-0.483988011417697,FALSE
"393","Girl in Progress","mRn2kNHHtXA",135193,373,18,2609412,50760,30,5155000,1420600,5155000,93,322,0,10,10100000,-0.493809505334627,FALSE
"394","Carnage (2011 film)","ON3kwJPwcMU",626416,671,106,2547047,11095,72,26275000,82209,26275000,80,5,0,1,10100000,-0.903061960038059,FALSE
"395","Never Let Me Go (2010 film)","sXiRZhDEo8A",13050978,31534,837,2434652,326745,14,16290000,115700,16290000,103,4,0,1,100110,-0.850543155310006,FALSE
"396","Oldboy (2013 film)","WKz_AUF0GcU",6754070,7208,1569,2193658,59787,12,3048000,889740,3048000,120,583,0,1,101001,-0.28029593175853,FALSE
"397","Killer Joe (film)","cxpvzmvFHTM",1672937,2005,139,1987762,38888,43,11341000,38862,11341000,102,3,0,1,1100001,-0.824727801781148,FALSE
"398","Crooked Arrows","3ArAWYKDONY",137231,246,133,1832541,122402,30,13403000,257660,13403000,105,55,0,10,100000,-0.863273819294188,FALSE
"399","Stone (2010 film)","FOcSnURwn50",156965,32,24,1810078,6298,77,23892000,78454,23892000,105,6,0,1,100001,-0.924239159551314,FALSE
"400","Somewhere (2010 film)","iEga7Hz9a3U",621980,1031,48,1785645,53423,59,8688000,123310,8688000,97,7,0,1,10100000,-0.794469958563536,FALSE
"401","A Better Life","vha1dmIXVqY",223060,567,18,1759252,48261,59,10510000,63966,10510000,98,4,0,10,100000,-0.832611607992388,FALSE
"402","Flipped (film)","q40GxY5n2Dg",928710,5433,78,1755212,345676,17,15204000,232190,15204000,90,45,0,100,10100100,-0.884555906340437,FALSE
"403","Take Shelter","I5U4TtYpKIc",1898837,3282,120,1730296,3092,45,5255000,53616,5255000,121,3,0,1,100001,-0.670733396764986,FALSE
"404","Stoker (film)","JNpDG4WR_74",2457197,6123,225,1714221,71705,22,12192000,161340,12192000,99,7,0,1,101001,-0.859397883858268,FALSE
"405","The Joneses","n2Y3GoN2PGw",1355502,1192,94,1475746,39576,62,5430000,527780,5430000,96,193,0,1,10100000,-0.728223572744015,FALSE
"406","Disconnect (film)","aqCcQOlDM4o",3062860,7607,291,1436900,46847,70,10160000,124610,10160000,115,15,0,1,100001,-0.858572834645669,FALSE
"407","Snow Flower and the Secret Fan (film)","Aa93drpm30E",458628,864,40,1348205,7154,46,6306000,138060,6306000,104,24,0,10,100000,-0.786202822708532,FALSE
"408","Mother and Child (film)","H87uMXAQzjc",523487,643,78,1110509,26785,2,5240000,44567,5240000,125,4,0,1,100100,-0.788070801526718,FALSE
"409","Red State (2011 film)","rVnAgwwIySo",151919,67,9,1104682,22746,44,4204000,210410,4204000,88,1,0,1,101010001,-0.737230732635585,FALSE
"410","The Oogieloves in the Big Balloon Adventure","FJOysq4B2Jw",21266,27,190,1065907,2409,50,12372000,455610,12372000,88,2160,0,1000,1000000000,-0.913845215001617,FALSE
"411","Buried (film)","j1Yyhxq56Xg",1624386,2363,303,1044143,48781,43,3258000,103830,3258000,95,11,0,1,101001,-0.679514119091467,FALSE
"412","Casino Jack","w1igM1mfzPI",782439,487,44,1042959,7780,57,16290000,35753,16290000,108,7,0,1,11100000,-0.935975506445672,FALSE
"413","Phantom (2013 film)","hTGNNxqlba0",357434,149,28,1034589,1085,26,10160000,510500,10160000,98,1118,0,1000,1,-0.898170374015748,FALSE
"414","The Beaver (film)","DOSOWNS3jts",1460131,1900,664,970816,3456,48,22071000,110830,22071000,91,22,0,10,100000,-0.956013954963527,FALSE
"415","Alone Yet Not Alone","dqGUL6LD2lE",65175,207,17,887851,187211,1,7112000,126390,7112000,103,11,0,10,0,-0.875161557930259,FALSE
"416","Middle Men (film)","m3gcb_9Q10E",1691147,1167,81,754301,6584,46,23892000,337200,23892000,105,252,0,1,11100000,-0.968428720910765,FALSE
"417","The Greatest Movie Ever Sold","T4Ng2P3zxfM",564684,2043,85,638476,7425,6,1576500,121870,1576500,90,18,0,10,10000000,-0.595004123057406,FALSE
"418","The Signal (2014 film)","gwgfeR2pMuE",7440365,15020,742,600896,23490,0,4000000,155640,4000000,97,120,0,10,11,-0.849776,FALSE
"419","The Future (film)","pK2zYHWDZKo",33935436,125873,6152,568662,4240048,13,11561000,4937800,11561000,92,484,0,1000,10000000,-0.950812040480927,FALSE
"420","The Extra Man (film)","Y9dBeef9KWc",181294,127,10,457867,2333,20,7602000,19530,7602000,108,2,0,1,10000000,-0.939770192054722,FALSE
"421","Bachelorette (film)","8aXt6qV4WoA",2658424,3009,313,447954,6175,59,3093000,186280,3093000,87,47,0,1,10000100,-0.855171677982541,FALSE
"422","Upstream Color","5U9KmAlrEXU",1133065,2987,108,444098,14757,39,50800,28789,50800,96,1,0,1000,101010,7.74208661417323,TRUE
"423","Hesher (film)","HXKRKpvv3SU",1434642,3678,225,382946,21204,50,7357000,129860,7357000,106,42,0,1,100000,-0.947948076661683,FALSE
"424","Smashed (film)","KeKLxspQWl8",231389,262,23,376597,1978,25,515500,27653,515500,81,4,0,1,100000,-0.269452958292919,FALSE
"425","Piranha 3DD","_XIyJO6vf3c",3459670,3880,1374,376512,448137,34,5155000,187040,5155000,83,86,1,1,10010000,-0.926961784675073,FALSE
"426","Joe (2013 film)","3WPLVEUx5AU",2774095,3140,166,373375,1609,68,4064000,106400,4064000,117,48,0,1,100000,-0.908126230314961,FALSE
"427","Lovelace (film)","gOZeunWBhe4",78761,27,1,356582,135475,31,10160000,185440,10160000,93,118,0,1,100000,-0.964903346456693,FALSE
"428","Like Dandelion Dust","XT6olxrZUJs",400627,578,19,352810,18576,43,2715000,80726,2715000,100,25,0,10,100000,-0.870051565377532,FALSE
"429","Super (2010 American film)","eL57ncw2jr8",3558724,11686,512,327716,32863,45,2627500,47957,2627500,96,11,0,1,11000000,-0.875274595623216,FALSE
"430","Compliance (film)","WdONydDX44I",1456101,1713,246,319285,15870,64,278370,16860,278370,90,1,0,1,1100001,0.146980637281316,FALSE
"431","Stolen (2012 film)","rpMxOjUjweA",3473660,2364,1184,304318,1623,64,36085000,187960,36085000,96,141,0,1,101100001,-0.991566634335597,FALSE
"432","Holy Rollers (film)","_mAeR9ez5Wk",13576,12,2,303064,2743,16,1086000,41093,1086000,89,3,0,1,1100000,-0.720935543278085,FALSE
"433","The Tempest (2009 film)","G34WI0hSF1o",1284734,1642,259,277943,154111,12,21720000,43941,21720000,110,5,0,10,10100100,-0.987203360957643,FALSE
"434","Life of Crime (film)","M29yK7WWeKY",3133639,5182,249,265452,5465,52,12192000,104810,12192000,98,37,0,1,11000000,-0.978227362204724,FALSE
"435","The Music Never Stopped","QOKP4I5Y2zY",94186,330,6,258223,31852,99,4204000,78859,4204000,105,32,0,100,100000,-0.938576831588963,FALSE
"436","Frozen (2010 American film)","GiUNsDVjCbo",2182767,3188,804,246176,24535324,53,162900000,252030,162900000,102,1,0,100,1010000000,-0.998488790669122,FALSE
