"","MovieName","TrailerLink","youtubeView","youtubeLike","youtubeDisLike","Revenue","FacebookMovieLike","actExp","Budget","Opening_Weekend_Gross","ReleasePeriod","runtime","Screen","Sequel","MPAA_Rating","Genre","ROI","Success"
"43","Gone Girl (film)","QZsF7IRTgMQ",1157723,2545,112,167767189,721094,55,61000000,37513000,61000000,149,3014,0,1,101001,1.75028178688525,TRUE
"44","Kung Fu Panda 2","YdaMGcOyfjM",21124252,25951,1656,165249063,276163,94,157650000,49283000,157650000,91,3925,1,100,1110100000,0.0482021122740247,FALSE
"45","Clash of the Titans (2010 film)","XJNenKqmOMU",102750,106,6,163214888,2728361,22,135750000,63408000,135750000,106,3777,0,10,1100000000,0.20231961694291,FALSE
"46","Django Unchained","eUdM9vrCbow",14527500,37840,1697,162805434,2210727,35,103100000,31498000,103100000,165,3010,0,1,0,0.579102172647915,FALSE
"47","Grown Ups (2010 film)","e01NVCveGkg",5067253,4897,406,162001186,8329452,40,86880000,41944000,86880000,102,3534,0,10,10000000,0.864654534990792,TRUE
"48","Divergent (film)","sutgWjz10sM",31739302,93999,3800,150947895,6016684,20,85000000,54608000,85000000,139,3936,0,10,1000000011,0.775857588235294,TRUE
"49","Neighbors (2014 film)","kL5c2szf3E4",15408525,42026,1415,150157400,1617741,52,18000000,49034000,18000000,97,3279,0,1,10000000,7.34207777777778,TRUE
"50","American Hustle (2013 film)","ST7a1aK_lG0",7951031,9156,797,150117807,684305,41,40640000,744100,40640000,138,6,0,1,1100000,2.6938436761811,TRUE
"51","Puss in Boots (2011 film)","55gmAtakjJ4",5234817,7646,356,149260504,583972,74,136630000,35109000,136630000,90,3952,0,100,1010000000,0.0924431237649125,FALSE
"52","Little Fockers","CIUpb2aQ5rM",68135,92,12,148438600,1600522,77,108600000,31928000,108600000,98,3536,1,10,10000100,0.366837937384899,FALSE
"53","Megamind","NPI0eatlo_M",504072,762,57,148415853,10118944,60,141180000,47650000,141180000,95,3944,0,100,110000010,0.0512526774330642,FALSE
"54","Hotel Transylvania","q4RK3jY7AVk",3836798,9758,524,148313048,9737275,45,87635000,43644000,87635000,91,3349,0,100,10000000,0.69239513892851,FALSE
"55","Rio (2011 film)","P1GRO31ve5Q",3056675,2618,504,143619809,12649818,5,94590000,40413000,94590000,96,3827,0,100,1010000000,0.518340300243155,FALSE
"56","The Smurfs (film)","yhBpgqXwrt8",2853737,3167,1123,142614158,13797751,70,115610000,36689000,115610000,103,3395,0,100,1010000000,0.233579776835914,FALSE
"57","21 Jump Street (film)","nfkiFVhiIYw",218904,0,0,138447667,13332,37,43302000,37260000,43302000,109,3121,0,1,111000000,2.19725802503349,TRUE
"58","Argo (2012 film)","JW3WfSFgrVY",1183783,1879,304,136025503,414437,52,45880000,19971000,45880000,120,3232,0,1,100001,1.96481044027899,TRUE
"59","Ride Along (film)","kdXo4vBgG7I",8847754,18576,917,134938200,2025293,33,25000000,41237000,25000000,99,2663,0,10,110000000,4.397528,TRUE
"60","Identity Thief","uO12W35DpsQ",4007265,8594,439,134506920,432607,70,35560000,34721000,35560000,111,3141,0,1,11000000,2.78253430821147,TRUE
"61","Grown Ups 2","YhOWtVElqfw",7437034,20191,1641,133668525,8328980,47,81280000,41713000,81280000,101,3491,1,10,10000000,0.644543860728346,FALSE
"62","Silver Linings Playbook","Lj5_FhLaaQQ",14134090,31527,982,132092958,106376,35,21651000,454690,21651000,122,16,0,1,10100100,5.10100956075932,TRUE
"63","Rio 2","leJuOObuCxM",4366256,10580,811,131538435,12649849,22,103000000,39328000,103000000,101,3948,1,1000,1010000000,0.277072184466019,FALSE
"64","Shutter Island (film)","5iaYLCiq5RM",7163595,13659,407,128012934,1926874,28,86880000,42520000,86880000,138,2991,0,1,1001,0.473445372928177,FALSE
"65","Into the Woods (film)","L6Yz5BRMGIQ",4708865,7500,577,128002372,504251,24,50000000,31052000,50000000,125,2440,0,100,1000000000,1.56004744,TRUE
"66","Super 8 (film)","vpzUCA5i6zY",9523161,8957,776,127004179,986062,0,52550000,36524000,52550000,112,3379,0,10,1011,1.41682548049477,TRUE
"67","Prometheus (2012 film)","93rPjItBZHw",787536,1066,81,126477084,61145,24,134030000,52397000,134030000,124,3396,0,1,1000001010,-0.05635242856077,FALSE
"68","Safe House (2012 film)","1IfQY4fNcnw",6872320,9164,389,126373434,7036,48,87635000,41233000,87635000,115,3119,0,1,101001001,0.442042950875792,FALSE
"69","Lone Survivor (film)","yoLFk4JK_RM",15263947,33664,2901,125095601,1018766,32,40640000,91319,40640000,121,2,0,1,100100001,2.07813978838583,TRUE
"70","The Vow (2012 film)","SUe728gcogM",3389657,6148,329,125014030,3955852,21,30930000,42289000,30930000,104,2958,0,10,100100,3.0418373747171,TRUE
"71","Life of Pi (film)","mZEZ35Fhvuc",10809835,327,1292,124987023,2108602,0,123720000,23044000,123720000,127,2927,0,100,1000100000,0.0102410523763337,FALSE
"72","The Fault in Our Stars (film)","9ItBvH5J6ss",35449855,381434,5058,124872350,14195125,20,12000000,48003000,12000000,126,3173,0,10,100100,9.40602916666667,TRUE
"73","Salt (2010 film)","mjOcEvBmYGE",241542,124,26,118311368,5636700,37,119460000,37289000,119460000,100,3612,0,10,101001001,-0.00961520174116859,FALSE
"74","Now You See Me (film)","KzJNYYkkhzc",10968067,32051,1015,117723989,2978740,25,76200000,29495000,76200000,115,2925,0,10,1001001,0.544934238845144,FALSE
"75","Horrible Bosses","VpUeQV8sdOc",1017740,1514,45,117538559,690910,63,36785000,29159000,36785000,98,3040,0,1,11000000,2.19528500747587,TRUE
"76","Green Lantern (film)","f8ZPg8uaoR0",6182136,8729,1064,116601172,4146745,44,210200000,54784000,210200000,114,3,0,10,1100000011,-0.44528462416746,FALSE
"77","Unbroken (film)","kk1M_HwmFMM",3815919,5118,634,115637895,456355,22,65000000,30621000,65000000,137,3131,0,10,100000,0.779044538461538,TRUE
"78","Magic Mike","eMU7s6cwxEM",18935421,27231,2777,113721571,2327857,43,7217000,40159000,7217000,110,2930,0,1,10100000,14.75745753083,TRUE
"79","Hop (film)","4Vy92X1X2pg",202197,201,12,108085305,2514821,43,66213000,38680000,66213000,95,3579,0,100,1010000000,0.632387975171039,FALSE
"80","Epic (2013 film)","T3z2ryJ2960",1079931,1978,209,107518682,10064,26,101600000,33696000,101600000,102,3882,0,100,1000000000,0.0582547440944882,FALSE
"81","Captain Phillips (film)","_3ASoBrFGlc",4610779,8308,451,107100855,362820,67,55880000,26128000,55880000,134,3020,0,10,100001,0.91662231567645,TRUE
"82","Paranormal Activity 3","90r3CnPI0AM",11641559,12436,1654,104028807,862246,13,5255000,54159000,5255000,83,3321,1,1,10000,18.7961573739296,TRUE
"83","Rise of the Guardians","aPLiBxhoug0",5554074,15663,566,103412758,3536598,21,149500000,24401000,149500000,97,3653,0,100,1000000000,-0.308275866220736,FALSE
"84","The Expendables (2010 film)","E_LCuy5ComA",520504,418,30,103068524,11391336,58,86880000,36061000,86880000,103,3270,0,1,1100000001,0.186331998158379,FALSE
"85","Just Go with It","Jz5Ubqhru7g",8610661,9534,509,103028109,2976727,42,84080000,31438000,84080000,117,3548,0,10,10000100,0.225358099429115,FALSE
"86","The Maze Runner (film)","AwwbhhjQ9Xk",8789115,34845,887,102427862,3510546,7,34000000,32513000,34000000,113,3604,0,10,100001011,2.01258417647059,TRUE
"87","The Equalizer (film)","jAI7rF0eQyQ",7953579,17329,650,101530738,519860,51,55000000,34138000,55000000,132,3236,0,1,101000001,0.846013418181818,TRUE
"88","This Is the End","kliQSsD_npo",814442,5155,118,101470202,111272,70,32512000,20821000,32512000,107,3055,0,1,10000000,2.1210076894685,TRUE
"89","Noah (2014 film)","6qmj5mhDwJQ",14400646,42744,4024,101200044,1854220,45,125000000,43720000,125000000,138,3567,0,10,1100100000,-0.190399648,FALSE
"90","Due Date","Hd_aN0LAgMo",3612520,5348,174,100539043,34064,71,70590000,33849000,70590000,95,3355,0,1,10000000,0.424267502479105,FALSE
"91","Edge of Tomorrow (film)","yUmSVcttXnI",6559144,14238,556,100206256,712492,36,178000000,28760000,178000000,113,3490,0,10,1100001010,-0.437043505617978,FALSE
"92","Olympus Has Fallen","vwx1f0kyNwI",7582089,13372,1591,98925640,11057,45,71120000,30523000,71120000,119,3098,0,1,100000001,0.390967941507312,FALSE
"93","The Green Hornet (2011 film)","r1fR4JfojCQ",122527,159,10,98780042,947909,32,126120000,34542000,126120000,119,3584,0,10,111000011,-0.216777339042182,FALSE
"94","The Social Network","lB95KLmpLR4",9954711,21295,1173,96962694,1445941,16,43440000,23242000,43440000,120,2771,0,10,100000,1.23210621546961,TRUE
"95","Sex and the City 2","f0jcltMRJaU",220710,207,56,95347692,13716741,52,108600000,38143000,108600000,146,3445,1,1,10100100,-0.12202861878453,FALSE
"96","42 (film)","wqpZSOh0o5w",304512,611,33,95020213,473025,19,40640000,27622000,40640000,128,3003,0,10,100000,1.33809579232283,TRUE
"97","The Book of Eli","kAMUv22y1og",2831548,3339,287,94835059,1381866,46,86880000,39802000,86880000,118,3111,0,1,1100100001,0.0915637546040516,FALSE
"98","Flight (2012 film)","Aqn2L6kQQt8",645242,1501,55,93772375,328148,26,31961000,25557000,31961000,138,1884,0,1,100001,1.93396248552924,TRUE
"99","The Fighter (2010 film)","FgzTt_eVbaY",1589848,2080,78,93617009,259474,27,27150000,12566000,27150000,116,2503,0,1,100000,2.4481402946593,TRUE
"100","The Town (2010 film)","WcXt9aUMbBk",2235051,4402,182,92186262,698077,50,40182000,24653000,40182000,125,2861,0,1,1100001,1.29421785874272,TRUE
"101","Think Like a Man","F7VmU8aHAtw",4986546,10552,501,91547205,4039185,28,12372000,33871000,12372000,122,2015,0,10,10000100,6.39954776915616,TRUE
"102","Heaven Is for Real (film)","N-ewaCVARtM",5770291,26955,2249,91443253,4167656,51,12000000,22522000,12000000,99,2417,0,100,100000,6.62027108333333,TRUE
"103","Red (2010 film)","3bsU5ePDSrA",6370,4,0,90380162,2849257,79,62988000,22534000,62988000,111,3255,0,10,111000001,0.43487905632819,FALSE
"104","Planes (film)","3KumjBXHdzY",4799844,4728,1811,90288712,1519577,35,50800000,22342000,50800000,91,3702,0,100,1010000000,0.777336850393701,TRUE
"105","The Muppets (film)","pfJkusicBa4",3642001,8520,426,88631237,6299749,23,47295000,30124000,47295000,103,3440,0,100,10000000,0.874008605560841,TRUE
"106","Dumb and Dumber To","lGXHVlEklgQ",30002938,81460,5416,86208010,3918637,53,35000000,14200000,35000000,109,3154,1,10,10000000,1.463086,TRUE
"107","Annie (2014 film)","fyXHFPOvDSY",1111428,3505,397,85911262,194847,37,65000000,15862000,65000000,118,3116,0,100,10100000,0.321711723076923,FALSE
"108","Fury (2014 film)","DNHuK1rteF4",2287543,5917,258,85817906,958264,68,68000000,82252000,68000000,134,3313,0,1,100100000,0.262028029411765,FALSE
"109","Real Steel","3S8a180uYBM",6034350,10766,666,85468508,3516120,31,115610000,28147000,115610000,127,3440,0,10,100100010,-0.260716996799585,FALSE
"110","Paranormal Activity 2","07XbSk7Rjt4",18413416,10828,1733,84752907,19001456,0,3258000,42122000,3258000,91,3216,1,1,10000,25.0137836095764,TRUE
"111","Tammy (film)","N8d6Bpl2eAo",4148318,9189,821,84525432,405366,33,20000000,21577000,20000000,97,3465,0,1,10000000,3.2262716,TRUE
"112","Annabelle (film)","jdUysoK6tdQ",22047145,44530,5678,84273813,3802886,16,6500000,37134000,6500000,99,3185,1,1,10000,11.965202,TRUE
"113","The Other Woman (2014 film)","7KrX7HGjt4k",499828,568,90,83911193,461451,49,40000000,24764000,40000000,109,3205,0,10,10000100,1.097779825,TRUE
"114","Wrath of the Titans","Xs7fzOrUopc",13267664,21269,1160,83670083,1067075,28,154650000,34340000,154650000,99,294,1,10,1100000000,-0.458971335273198,FALSE
"115","Immortals (2011 film)","GSmJ5UXtUnk",1678633,2462,188,83504017,748951,13,78825000,33181000,78825000,110,3112,0,1,100100000,0.0593595559784332,FALSE
"116","Turbo (film)","QULzGYRThH8",1897710,4040,399,83028128,2862096,50,137160000,21417000,137160000,96,3806,0,100,1010000000,-0.394662233887431,FALSE
"117","The Descendants (film)","pfPSrFDt5iQ",74759,152,14,82584160,170068,65,21020000,1226100,21020000,115,29,0,1,10100000,2.92883729781161,TRUE
"118","Ted (film)","8YBlnHxkCJc",2132928,3127,229,81476385,20868399,30,51550000,55851000,51550000,106,3239,0,1,10000000,0.580531231813773,FALSE
"119","Eat Pray Love","mjay5vgIwt4",4522876,6119,497,80574010,1846481,44,65160000,23924000,65160000,133,3082,0,10,100100,0.236556322897483,FALSE
"120","Dear John (2010 film)","ydmqSjgz85M",128635,122,19,80014842,7189048,15,27150000,31550000,27150000,108,2969,0,10,100100,1.94713966850829,TRUE
"121","Dark Shadows (film)","N6tVdffCr_M",876929,3513,107,79727149,2446616,60,103100000,30468000,103100000,113,3755,0,10,10010000,-0.226700785645005,FALSE
"122","Limitless (film)","jOLqNOfzus4",2833391,6036,201,79249455,1526770,32,28377000,19480000,28377000,105,2756,0,10,1011,1.79273549000951,TRUE
"123","Tower Heist","Z4KXF7NWFRE",5034010,5815,285,78046570,298986,102,78825000,24752000,78825000,104,3367,0,10,111000000,-0.00987542023469711,FALSE
"124","The Monuments Men","CreneTs7sGs",3926552,5843,503,78031620,253238,70,70000000,22700000,70000000,118,3083,0,10,100000,0.114737428571429,FALSE
"125","Parental Guidance (film)","5UzcG2EsACM",34932,54,2,77267296,41016,56,25775000,15190000,25775000,105,3367,0,100,10000000,1.99776124151309,TRUE
"126","Knight and Day","JGPl86DBNNs",2279457,3432,129,76423035,242553,31,127060000,20855000,127060000,109,3098,0,10,110000100,-0.398527978907603,FALSE
"127","Contagion (film)","4sYSyuuLk5g",7918279,9712,957,75658097,138698,41,63060000,23082000,63060000,106,3222,0,10,100011,0.19977952743419,FALSE
"128","Moneyball (film)","AiAHlZVgXjk",4725226,4975,286,75605492,389524,59,52550000,20092000,52550000,133,2993,0,10,100000,0.438734386298763,FALSE
"129","Jack and Jill (2011 film)","qHKTXrUnN58",2676889,2948,3565,74158157,2530669,42,83029000,25760000,83029000,91,3438,0,100,10000000,-0.106840296763781,FALSE
"130","Hugo (film)","UGTfCw1x98A",560503,1156,81,73864507,270696,94,178670000,11708000,178670000,126,1277,0,100,1000101000,-0.586586964795433,FALSE
"131","White House Down","4AXbiCdmXgw",5477575,7578,1061,73103784,671033,25,152400000,24975000,152400000,131,3222,0,10,100100001,-0.520316377952756,FALSE
"132","John Carter (film)","6Rf55GTEZ_E",8414903,8533,981,73078100,738686,9,271870000,30976000,271870000,132,3749,0,10,1100000010,-0.731202045095082,FALSE
"133","Hercules (2014 film)","OwlynHlZEc4",6726319,9609,712,72688614,986896,80,100000000,29000000,100000000,98,3595,0,10,1100000000,-0.27311386,FALSE
"134","Dolphin Tale","AJ_1eS2Erhk",444227,1019,51,72286779,485824,23,38887000,19732000,38887000,113,3507,0,100,100000,0.85889317766863,TRUE
"135","No Strings Attached (film)","Dcro1wGqBBA",369110,322,49,70662220,11412,35,26275000,20248000,26275000,108,3018,0,1,10000100,1.68933282588011,TRUE
"136","Act of Valor","ZnlPgo9TaGo",10300798,23854,1270,70012847,428832,0,12372000,10388,12372000,110,12,0,1,100000001,4.65897567086971,TRUE
"137","The American (2010 film)","hPYRslx1w4Y",93281,91,12,67876281,150617,64,21720000,17254000,21720000,105,2823,0,1,1100001,2.12505897790055,TRUE
"138","The Tourist (2010 film)","5R0vcopCNG0",299315,0,0,67631157,1567533,52,108600000,17057000,108600000,103,2756,0,10,100000101,-0.377245331491713,FALSE
"139","This Is 40","6sGkPwrze0o",9158628,7893,1139,67544505,104985,71,36085000,12348000,36085000,134,2913,1,1,10000000,0.871816682832202,TRUE
"140","The Bounty Hunter (2010 film)","tOGRLdlWHT4",969616,1077,54,67061228,1012546,35,43440000,21421000,43440000,110,3074,0,10,110000100,0.543766758747698,FALSE
"141","Contraband (2012 film)","SjcCbSmF_OA",4177142,4354,234,66528000,748025,30,25775000,24992000,25775000,109,2863,0,1,101100001,1.58110572259942,TRUE
"142","Looper (film)","2iQuhsmtfHw",7015805,12465,508,66486205,538290,56,30930000,21350000,30930000,119,2992,0,1,101000011,1.14957015842224,TRUE
"143","Warm Bodies (film)","c9RQe5WBbww",339341,2141,43,66380662,2425953,29,35560000,20454000,35560000,98,3009,0,10,10010100,0.8667227784027,TRUE
"144","Battleship (film)","cp3646Zf8rg",4540095,8065,611,65422625,2281738,9,215480000,26208000,215480000,131,3690,0,10,1100000011,-0.696386555596807,FALSE
"145","Jack the Giant Slayer","ng9rjC8MOgU",5270106,7034,718,65187603,458048,29,198120000,27336000,198120000,114,3525,0,10,1000000000,-0.670969094488189,FALSE
"146","Think Like a Man Too","N8b6kVSZNLE",8781519,19722,3086,65182182,4039192,53,24000000,29242000,24000000,106,2225,0,10,10000000,1.71592425,TRUE
"147","Mirror Mirror (film)","YgbH05rQx1s",2489306,3604,682,64935167,14268,48,87635000,18610000,87635000,106,3603,0,100,1010100000,-0.259027021167342,FALSE
"148","Chronicle (film)","NjTwbStRnf4",125895,99,57,64575175,754905,10,12372000,22585000,12372000,84,2907,0,10,100011,4.21946128354349,TRUE
"149","The Nut Job","fq4qP2oSpIA",2573905,3382,658,64251541,511254,75,42000000,20550000,42000000,85,3427,0,100,1010000000,0.529798595238095,FALSE
"150","Happy Feet Two","gKWNUyTGqss",8103134,7064,892,64006466,90822,164,136630000,21880000,136630000,100,3606,1,100,10000000,-0.531534318963624,FALSE
"151","Diary of a Wimpy Kid (film)","7ZVEIgPeDCE",5973095,8908,651,64003625,830425,23,16290000,22911000,16290000,94,3077,0,100,10000000,2.92901319828115,TRUE
"152","Last Vegas","TvK3m0wJutI",1910386,2515,211,63914167,126940,64,28448000,16415000,28448000,105,3065,0,10,10000000,1.24670159589426,TRUE
"153","Hope Springs (2012 film)","fQYEiC4CuD4",1278,1,0,63536011,200077,66,30930000,15037000,30930000,100,2361,0,10,10100100,1.05418722922729,TRUE
"154","A Nightmare on Elm Street (2010 film)","ZuYoEtEI_go",2094755,5146,415,63075011,3118608,126,1954800,1316100,1954800,91,165,0,1000,10000,31.266733681195,TRUE
"155","The Last Song (film)","7Bmuzr8K5ak",2036636,5398,113,62950384,7460123,11,21720000,16575000,21720000,107,2673,0,100,100100,1.89826813996317,TRUE
"156","The Adjustment Bureau","wZJ0TP4nTaE",5525832,8739,338,62495645,327067,54,52760000,21798000,52760000,106,2840,0,10,111,0.184527009097801,FALSE
"157","Prisoners (2013 film)","bpXfcTF6iVk",7809931,15246,570,61002302,349639,39,46736000,20919000,46736000,153,3260,0,1,1101001,0.305252952755906,FALSE
"158","After Earth","CZIt20emgLY",16583202,39165,3235,60522097,1666260,5,132080000,27655000,132080000,100,3401,0,10,1100000010,-0.541776976075106,FALSE
"159","The Lucky One (film)","9w8lE83oYeM",4441253,7809,0,60457138,2719391,25,25775000,23112000,25775000,101,3155,0,10,100100,1.3455727643065,TRUE
"160","Tooth Fairy (2010 film)","c",2388961,2587,8,60022256,533558,59,52128000,14508000,52128000,101,3344,0,100,10000000,0.151439840392879,FALSE
"161","Secretariat (film)","UKmuvjL2cVw",1514020,2058,89,59713955,104970,50,38010000,13145000,38010000,123,3072,0,100,100000,0.571006445672191,FALSE
"162","Son of God (film)","WcIXCok9HPg",8212193,33778,3519,59700064,11441342,27,22000000,26500000,22000000,138,3260,0,10,100000,1.71363927272727,TRUE
"163","Total Recall (2012 film)","_pV2zz3z0oM",1600965,3601,490,58877969,378806,0,128880000,26253000,128880000,118,3601,0,1000,1100001011,-0.543156665114836,FALSE
"164","Water for Elephants (film)","_6b2XhXkPpg",7265520,14285,627,58709717,518936,36,39938000,17352000,39938000,120,2817,0,10,100100,0.470021458260303,FALSE
"165","RoboCop (2014 film)","UuVphAuRo7Q",3569418,12257,1193,58607007,1552403,33,100000000,25062000,100000000,117,3372,0,10,100000011,-0.41392993,FALSE
"166","Escape from Planet Earth","Q1NhAUsyslk",2016339,2358,355,57012977,69905,52,40640000,15969000,40640000,89,3288,0,100,1010000010,0.402878371062992,FALSE
"167","American Reunion","1akixU65dDY",3629885,6970,221,57011521,139984,35,51550000,22082000,51550000,113,3192,1,1,10000000,0.105946091173618,FALSE
"168","Midnight in Paris","5nOF93SzX6s",495459,672,19,56817045,746321,39,17867000,617130,17867000,94,6,0,10,10000100,2.17999916046342,TRUE
"169","12 Years a Slave (film)","KrDg_6rxCzs",197405,319,17,56671993,853697,31,20320000,928260,20320000,134,19,0,1,100000,1.78897603346457,TRUE
"170","ParaNorman","hgwSpajMw3s",2901592,5579,418,56003051,826227,13,61860000,14459000,61860000,92,3429,0,100,1010000000,-0.0946807145166505,FALSE
"171","Friends with Benefits (film)","tx0GqHop4Sk",1208351,952,149,55802754,2967220,16,36785000,19186000,36785000,109,2926,0,1,10000100,0.516997526165557,FALSE
"172","Free Birds","UhxSOkTFGvo",1595366,3610,364,55750480,240375,45,55880000,15883000,55880000,91,3736,0,100,1010000000,-0.00231782390837509,FALSE
"173","This Means War (film)","oleuD8479uM",2120872,3736,175,54760791,244225,37,67015000,17865000,67015000,97,3189,0,1,110000100,-0.182857703499217,FALSE
"174","Project X (2012 film)","QBv54LhBWyQ",2895312,4291,456,54731865,3396,3,12372000,21607000,12372000,88,3055,0,1,11000000,3.42384941804074,TRUE
"175","Source Code","tKcDnd9PFE0",96764,101,10,54712227,277668,22,29428000,15260000,29428000,93,2961,0,10,1011,0.859189445426125,TRUE
"176","Evil Dead (2013 film)","clEXNgH6Oj8",1277297,2594,407,54239856,1263012,4,17272000,25903000,17272000,91,3025,1,1,10000,2.14033441408059,TRUE
"177","Insidious (film)","Gmpn9_D8sZ0",781115,919,116,54009150,4816242,21,1576500,13673000,1576500,103,2408,0,10,111001,33.2588962892483,TRUE
"178","Paranormal Activity 4","g7Xn2JqH5ng",8774901,21636,2192,53900335,19001461,6,5155000,29769000,5155000,88,3412,1,1,10000,9.45593307468477,TRUE
"179","RED 2 (film)","ZfB8QwYBPxY",3162485,6194,319,53262560,124492,93,85344000,18137000,85344000,116,3016,1,10,111000001,-0.375907386576678,FALSE
"180","Letters to Juliet","prc50Uod_vQ",2620078,6218,115,53032453,3202839,23,32580000,14021000,32580000,105,2968,0,100,10100100,0.627760988336403,FALSE
"181","Predators (film)","9u8vZwvP57Y",6386790,8871,512,52000688,262888,39,43440000,25640000,43440000,107,2699,1,1,1100000011,0.197069244935543,FALSE
"182","Footloose (2011 film)","gtjI6OHVk00",3917722,7243,2083,51802742,11229,5,25224000,16027000,25224000,113,3549,0,10,10100100,1.05370845226768,TRUE
"183","The Grey (film)","VRWF4cepn8U",2901558,4234,237,51580236,292009,77,25775000,20184000,25775000,117,3185,0,1,1000100001,1.00117307468477,TRUE
"184","Muppets Most Wanted","DQiGyBiNjLI",3272739,7042,600,51183113,6299751,35,50000000,17005000,50000000,107,3194,1,100,1011000000,0.02366226,FALSE
"185","Ouija (2014 film)","_T1Jj1inE8M",14479127,37528,2706,50856010,1860751,3,5000000,19900000,5000000,89,2061,0,10,10000,9.171202,TRUE
"186","The Boxtrolls","Q2dFVnp5K0o",2889900,4574,424,50837305,284969,104,60000000,17275000,60000000,96,3464,0,100,1010000000,-0.152711583333333,FALSE
"187","Alpha and Omega (film)","ixZfHe4ehzw",303680,379,52,50507267,228341,44,21720000,9430100,21720000,88,2625,0,100,1010000100,1.32538061694291,TRUE
"188","If I Stay (film)","rMp896hfp74",11959665,54644,1142,50474843,3155192,43,11000000,15679000,11000000,107,2907,0,10,100100,3.58862209090909,TRUE
"189","Hot Tub Time Machine","_TXNEE6SaoI",2919743,3979,238,50287556,6290,55,39096000,14518000,39096000,101,2754,0,1,10000010,0.286258338448946,FALSE
"190","Red Tails","BpA6TC0T_Lw",8808180,21897,1781,49876377,42106,67,59798000,19278000,59798000,125,2512,0,10,1100100000,-0.165918977223318,FALSE
"191","The Possession (2012 film)","0gBeG31fX40",9808422,17138,1145,49130154,1121630,49,14434000,18200000,14434000,92,2816,0,10,10001,2.40377954828876,TRUE
"192","About Last Night (2014 film)","nNZFE3z0T7E",6596987,15217,651,48637684,505208,48,12500000,27838000,12500000,100,2253,0,1,10000100,2.89101472,TRUE
"193","The Dilemma","TU8JFk7aXyA",3601059,2696,212,48475290,116957,46,73570000,18355000,73570000,111,2940,0,10,10100000,-0.341099768927552,FALSE
"194","Sinister (film)","_kbQAJR9YWQ",1535890,3148,129,48086903,1664316,45,3093000,18483000,3093000,110,2527,0,1,11000,14.5470103459425,TRUE
"195","Into the Storm (2014 film)","A_kj8EKhV3w",3587222,70000,774,47602194,527812,30,50000000,18015000,50000000,89,3434,0,10,100000001,-0.04795612,FALSE
"196","Savages (2012 film)","8imzQaoEwsA",2426827,2912,274,47382068,26336,13,46395000,16439000,46395000,131,2628,0,1,1100001,0.0212753098394224,FALSE
"197","The Judge (2014 film)","8ikeVQ8WAcQ",610273,1889,53,47119388,427889,77,50000000,46591000,50000000,141,3003,0,1,100000,-0.05761224,FALSE
"198","Killers (2010 film)","NXX51rOSHuE",1027262,557,105,47059963,9561913,25,81450000,16399000,81450000,100,2859,0,10,110000101,-0.422222676488643,FALSE
"199","Jersey Boys (film)","tL2iILHUsG0",1568789,4350,139,47047013,192568,19,40000000,13319000,40000000,134,2905,0,1,100000,0.176175325,FALSE
"200","Blended (film)","8MuWt2X59fo",9082586,21099,2073,46294610,475236,49,40000000,18185000,40000000,117,3555,0,10,10000100,0.15736525,FALSE
"201","Gangster Squad","qilrVR0miPU",3602079,6829,281,46000903,514736,55,60960000,17154000,60960000,113,3103,0,1,101100001,-0.245392011154856,FALSE
"202","Moonrise Kingdom","7N8wkVA4_8s",5239501,15802,545,45512466,366399,87,16496000,536790,16496000,94,4,0,10,1010100100,1.75900012124151,TRUE
"203","The Giver (film)","iJNNugNe0Wo",6136032,13749,1841,45090374,14581,80,25000000,12305000,25000000,97,3003,0,10,100010,0.80361496,TRUE
"204","Cop Out (2010 film)","Yb3S84gKqFE",129423,114,7,44875481,8930,79,40182000,18857000,40182000,107,3150,0,1,111000000,0.11680555970335,FALSE
"205","Soul Surfer (film)","MWeOjBCi3c4",6247668,7567,277,43853424,1392994,14,18918000,10923000,18918000,106,2214,0,100,100000,1.31807928956549,TRUE
"206","Need for Speed (film)","e73J71RZRn8",11814074,37383,1592,43577636,17756111,58,66000000,17845000,66000000,132,3115,0,10,101100001,-0.339732787878788,FALSE
"207","Edge of Darkness (2010 film)","hVOH8xrCI9I",395573,156,13,43313890,70071,47,86880000,17825000,86880000,117,3066,0,1,1101001,-0.501451542357274,FALSE
"208","A Million Ways to Die in the West","CXxqG4aqwY4",5437783,22113,1009,43139300,867179,44,40000000,17069000,40000000,116,3158,0,1,10000000,0.0784825,FALSE
"209","Snitch (film)","rieI5g9fgRc",6707271,9084,462,42930462,1027977,73,15240000,13232000,15240000,112,2511,0,10,100100001,1.8169594488189,TRUE
"210","Final Destination 5","ugUDNpKurXU",2339410,3188,261,42587643,5623,27,42040000,18577000,42040000,92,3155,1,1,10001,0.0130267126546147,FALSE
"211","Step Up 3D","TZe1Qz2twbE",577034,736,29,42400223,103697,5,32580000,16373000,32580000,107,2435,1,10,100100,0.30141875383671,FALSE
"212","Riddick (film)","F1Dm9zRogpE",559792,3064,57,42025135,1538787,24,38608000,19124000,38608000,119,3117,0,1,100000011,0.0885084697472027,FALSE
"213","Dolphin Tale 2","gMDymk_gx3A",1896349,3404,215,42024533,485824,97,36000000,15873000,36000000,107,3656,1,100,100000,0.167348138888889,FALSE
"214","The Last Exorcism","dOxQ7DmBQRg",408340,423,36,41034350,2466,79,1954800,21089000,1954800,87,2874,0,10,110001,19.9915848168611,TRUE
